Variety,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Category.Two.Defects,altitude_low_meters,altitude_high_meters,altitude_mean_meters
Arusha,0.46698564593301395,0.3951807228915644,0.21113105924595935,0.0,0.33975903614457725,0.49879518072289114,1.0,1.0,1.0,0.18,0.07110394370326932,0.07069521853916104,0.07089962607229269
Blue Mountain,0.4832535885167463,0.3433734939759038,0.027528426092160017,0.42039106145251265,0.3554216867469878,0.3433734939759038,1.0,1.0,1.0,0.025,0.022723940771147928,0.06343502493399823,0.04307500549893688
Bourbon,0.4601807549175979,0.40026773761713674,0.13762085245029265,0.3698324022346354,0.3046318607764401,0.3717804551539492,0.7651826484018199,0.6777358084476645,0.7242506811989088,0.174,0.2382743222401408,0.2396699579714397,0.2389719866155346
Catimor,0.5741626794258353,0.5789156626506036,0.416517055655296,0.4071229050279315,0.4180722891566248,0.5789156626506036,0.874743150684932,1.0,1.0,0.052500000000000005,0.07211992376484387,0.07171164564388384,0.07191582960627613
Catuai,0.39404863341417024,0.305165868955272,0.11065476336866122,0.2940231116553106,0.1843538537712477,0.2723221653738184,0.724690373428407,0.5134299645096018,0.26094584002090293,0.18630136986301368,0.07255255482635808,0.0767710610322158,0.0746613439833005
Caturra,0.5036494980767392,0.46973777462791955,0.365567172410558,0.3754518567203435,0.3858256555634279,0.5232223009685786,0.8718439430566705,0.8439120733038906,0.8744670620291675,0.13019607843137254,0.07260955976980993,0.07858967997593859,0.0755989621868042
Ethiopian Heirlooms,0.47846889952153115,0.493975903614458,0.416517055655296,0.30167597765362975,0.3975903614457832,0.493975903614458,1.0,1.0,1.0,1.0,0.129159947221815,0.12877676738046348,0.12896839944277438
Ethiopian Yirgacheffe,1.0,1.0,1.0,1.0,0.6987951807228916,1.0,1.0,1.0,1.0,0.275,0.10980794604896645,0.12393663831035494,0.11687073832392403
Gesha,0.5207336523125987,0.4407630522088357,0.222022740873728,0.40642458100558554,0.20582329317268974,0.4146586345381532,1.0,1.0,1.0,0.03333333333333333,0.08395689781556955,0.08454605456145493,0.08425141139379717
Hawaiian Kona,0.41452805567638057,0.4356516976998912,0.3652412817583382,0.42610462163535007,0.43866374589265955,0.5648959474260689,0.0,0.0,0.0,0.2022727272727273,,,
Java,0.325358851674641,0.19277108433734955,0.15978456014362621,0.07122905027932751,0.10240963855421682,0.14457831325301215,1.0,1.0,1.0,0.2,0.0565899428236329,0.05617483132883543,0.05638243272967226
Mandheling,0.5805422647527918,0.586345381526104,0.35946538998603683,0.5344506517690881,0.4859437751004005,0.6305220883534116,0.5793378995433757,0.5241323648103261,1.0,0.06666666666666667,0.061427943116845046,0.07553534760926958,0.06848009384852262
Marigojipe,0.23923444976076558,0.3975903614457832,0.027528426092160017,0.30167597765362975,0.3012048192771084,0.0,1.0,1.0,1.0,0.0,0.09045594487611788,0.09005573481959518,0.09025588386245326
Moka Peaberry,0.0,0.3975903614457832,0.416517055655296,0.7625698324022342,0.6024096385542168,0.6024096385542168,1.0,1.0,1.0,0.8,1.0,1.0,1.0
Mundo Novo,0.3850949688270254,0.38809784592917135,0.1689788368423884,0.24200101574403052,0.2738225629791898,0.3274917853231113,0.9235159817351623,0.010169491525414529,0.9391462306993558,0.3636363636363636,0.03298050139275766,0.03524473033566609,0.03411236684717146
Pacamara,0.5502392344497593,0.6249999999999998,0.35427887492519555,0.40467877094971993,0.3012048192771084,0.5210843373493966,0.5291095890410946,0.46731234866827825,1.0,0.26875,0.06516529834335143,0.06475396010560282,0.06495967446293717
Pacas,0.3032756716967243,0.29008341056533915,0.0,0.30167597765362975,0.15477293790546662,0.2669138090824837,0.5160695468914644,0.45420003725087676,0.384405784950741,0.2923076923076923,0.07554001781827614,0.07513324457882979,0.07533667593496027
Pache Comun,0.325358851674641,0.0,0.15200478755236366,0.1899441340782104,0.0,0.19277108433734955,1.0,1.0,1.0,0.0,0.10079765430288817,0.10040199471985921,0.10059986802551507
Peaberry,0.5129186602870827,0.23614457831325375,0.155116696588867,0.32402234636871363,0.3012048192771084,0.19759036144578276,1.0,1.0,1.0,0.12,0.10980794604896645,0.10941625110002934,0.10961214165261382
Ruiru 11,0.6028708133971291,0.3493975903614458,0.416517055655296,0.364525139664803,0.506024096385542,0.3975903614457832,1.0,1.0,1.0,0.7,0.11392024629819676,0.11353036080962159,0.11372534643302294
SL14,0.7678018575851405,0.6591070163004958,0.5629598338437688,0.5489648373315793,0.49610205527994256,0.569808646350107,1.0,1.0,1.0,0.07058823529411765,0.09499157015100426,0.10971875916691111,0.1023535449813036
SL28,0.6360446570972884,0.6779116465863445,0.7111111111111117,0.7420856610800726,0.5477911646586352,0.7734939759036148,0.9158675799086731,0.904826472962063,0.8661217075385975,0.07333333333333333,0.07718600121473601,0.09183966810543516,0.08451122306830203
SL34,0.6614832535885169,0.7469879518072279,0.6751944943147811,0.8393854748603345,0.6280120481927712,0.6746987951807234,1.0,1.0,1.0,0.1625,0.08602917460782877,0.08562701672044587,0.08582813989295403
Sulawesi,0.40191387559808606,0.493975903614458,0.2920406941950924,0.41340782122904907,0.3975903614457832,0.3975903614457832,1.0,1.0,1.0,0.75,0.0807799442896936,0.08037547667937811,0.08057775496737297
Sumatra,0.37639553429027134,0.6345381526104413,0.6291641731498118,0.8091247672253267,0.5662650602409635,0.6666666666666671,1.0,1.0,1.0,0.13333333333333333,0.06626594341005719,0.06585508946905251,0.06606056162475255
Sumatra Lintong,0.6411483253588517,0.7951807228915664,0.6810293237582283,1.0,1.0,0.7951807228915664,1.0,1.0,1.0,0.15,0.0565899428236329,0.07069521853916104,0.06364102940098249
Typica,0.3787916943293392,0.2552602755519614,0.07383482371671145,0.16962925342813157,0.17835937049634346,0.21248630887185574,0.5188356164383441,0.47648782974384585,0.8182991538792416,0.25287081339712925,0.042681471697200116,0.04354310947321055,0.043112195823370586
Yellow Bourbon,0.39999999999999764,0.44578313253012164,0.26847909720441104,0.25857940941739743,0.3907056798623058,0.48089500860585127,0.6765655577299404,0.9184226911103365,0.9426235889451162,0.11714285714285715,0.0,0.0,0.0
